,ret_1d,ret_5d,ret_20d,volatility_30,vol_rank_cs,beta_60,skewness_45,liquidity_log,liquidity_rank_cs,price_roc,oi_roc,basis_norm,basis_mom,vol_ratio_sig,trend_score,sentiment_score,combined_score,funding_z,funding_penalty,mom_final_score,ls_ratio,ls_chg_1d,oi_pct_chg_1d,ts_z_oi_chg,liquidation_shock,regime_score,interaction_alpha,reversal_hawkes,rev_final_score,volatility_30_delta,vol_rank_cs_delta,price_roc_delta,oi_roc_delta,basis_norm_delta,basis_mom_delta,vol_ratio_sig_delta,trend_score_delta,sentiment_score_delta,combined_score_delta,mom_final_score_delta,ls_ratio_delta,rev_final_score_delta,liquidity_rank_cs_delta,combined_score_delta & mom_final_score_delta,combined_score_delta & ls_ratio_delta,combined_score_delta & rev_final_score_delta,combined_score_delta & liquidity_rank_cs_delta,mom_final_score_delta & ls_ratio_delta,mom_final_score_delta & rev_final_score_delta,mom_final_score_delta & liquidity_rank_cs_delta,ls_ratio_delta & rev_final_score_delta,ls_ratio_delta & liquidity_rank_cs_delta,rev_final_score_delta & liquidity_rank_cs_delta,oi_roc_delta & ls_ratio_delta,basis_norm_delta & liquidity_rank_cs_delta,trend_score_delta & rev_final_score_delta,trend_score_delta & liquidity_rank_cs_delta,price_roc_delta & basis_mom_delta,price_roc_delta & ls_ratio_delta,price_roc_delta & liquidity_rank_cs_delta,vol_ratio_sig_delta & trend_score_delta,vol_ratio_sig_delta & combined_score_delta,vol_ratio_sig_delta & mom_final_score_delta,ret_1d & beta_60,ret_1d & rev_final_score,ret_5d & vol_rank_cs,ret_5d & vol_ratio_sig,ret_5d & reversal_hawkes,ret_5d & rev_final_score,ret_20d & basis_mom,ret_20d & rev_final_score,reversal_hawkes & basis_mom_delta,rev_final_score & basis_mom_delta,ret_1d & funding_penalty,ret_5d & beta_60,ret_5d & ls_ratio,skewness_45 & ls_ratio_delta,basis_mom & liquidity_rank_cs_delta,interaction_alpha & reversal_hawkes,price_roc_delta & rev_final_score_delta,ret_1d & price_roc_delta,ret_1d & sentiment_score_delta,ret_1d & liquidity_rank_cs_delta,skewness_45 & liquidity_rank_cs,basis_norm & vol_ratio_sig_delta,interaction_alpha & liquidity_rank_cs_delta,rev_final_score & price_roc_delta,ret_1d & oi_pct_chg_1d,ret_1d & interaction_alpha,volatility_30 & vol_rank_cs,volatility_30 & vol_ratio_sig,liquidity_log & oi_roc,ret_5d & ret_20d,ret_5d & vol_ratio_sig_delta,ret_5d & price_roc,ret_5d & liquidation_shock,ret_5d & rev_final_score_delta,ret_1d & basis_norm,ret_5d & mom_final_score,ret_1d & vol_ratio_sig,ret_5d & basis_norm_delta,ret_1d & ret_5d,ret_1d & funding_z,ret_1d & vol_ratio_sig_delta,ret_1d & mom_final_score_delta,ret_5d & oi_roc_delta,ret_1d & oi_roc,ret_1d & oi_roc_delta,ret_1d & trend_score_delta,ret_1d & combined_score_delta,ret_5d & regime_score,ret_1d & ts_z_oi_chg,ret_1d & liquidation_shock,ret_1d & basis_mom_delta,beta_60 & basis_mom,basis_norm & volatility_30_delta,ret_20d & beta_60,ret_20d & vol_ratio_sig,volatility_30 & vol_ratio_sig_delta,beta_60 & funding_z,beta_60 & mom_final_score_delta,beta_60 & rev_final_score_delta,price_roc & vol_ratio_sig_delta,ret_1d & ls_chg_1d,ret_5d & liquidity_rank_cs_delta,ret_20d & liquidity_log,ret_20d & volatility_30_delta,ret_20d & oi_roc_delta,volatility_30 & oi_roc,ret_5d & skewness_45,ret_5d & sentiment_score,ret_5d & sentiment_score_delta,ret_1d & ls_ratio,ret_5d & volatility_30,ret_20d & price_roc,vol_rank_cs & skewness_45,ret_5d & ls_ratio_delta,ret_20d & skewness_45,ret_20d & liquidity_rank_cs,skewness_45 & price_roc,skewness_45 & vol_rank_cs_delta,skewness_45 & liquidity_rank_cs_delta,liquidity_rank_cs & basis_norm,ret_1d & skewness_45,volatility_30 & skewness_45,skewness_45 & ls_ratio,skewness_45 & combined_score_delta,ls_ratio & volatility_30_delta,ls_ratio & basis_norm_delta,ret_20d & ls_ratio,liquidity_rank_cs & basis_mom_delta,basis_norm & basis_norm_delta,ret_5d & interaction_alpha,ret_20d & interaction_alpha,ret_5d & funding_z,skewness_45 & mom_final_score_delta,ls_ratio & mom_final_score_delta,ts_z_oi_chg & basis_mom_delta,volatility_30_delta & basis_mom_delta,basis_norm & vol_rank_cs_delta,sentiment_score_delta & ls_ratio_delta,volatility_30_delta & vol_rank_cs_delta,ret_1d & regime_score,ret_1d & rev_final_score_delta,ret_1d & basis_norm_delta,liquidity_log & ls_ratio_delta,liquidity_rank_cs & trend_score,liquidity_rank_cs & ls_ratio_delta,price_roc & ls_ratio_delta,basis_mom & volatility_30_delta,sentiment_score & mom_final_score_delta,ret_20d & mom_final_score,ret_20d & price_roc_delta,liquidity_log & price_roc,liquidity_log & interaction_alpha,liquidity_rank_cs & combined_score,mom_final_score & volatility_30_delta,ret_20d & ls_chg_1d,liquidity_log & basis_norm,liquidity_rank_cs & price_roc_delta,trend_score & price_roc_delta,sentiment_score & price_roc_delta,combined_score & price_roc_delta,ls_ratio & price_roc_delta,liquidity_rank_cs & mom_final_score,mom_final_score & ls_ratio,ret_5d & price_roc_delta,price_roc & ls_ratio,trend_score & ls_ratio,combined_score & ls_ratio,volatility_30_delta & price_roc_delta,sentiment_score & ls_ratio_delta
2024-01-01,8.680532916725857e-09,1.3924544453380007e-08,3.365029222531303e-09,4.140234276412133e-09,8.794078925082951e-09,9.151853966575636e-09,4.1209201793802505e-09,4.678296606854101e-09,6.59063190359045e-09,4.6567844915800805e-09,2.2180380560997127e-09,1.784878354140866e-08,7.459113430822196e-09,3.87226530375355e-09,2.2697831480241072e-09,5.193811403050983e-09,3.1133556195116785e-09,9.369182558076357e-09,4.81981619081429e-09,3.627662809742505e-09,1.2323548389685855e-08,5.211661853898425e-09,5.336026210016998e-09,2.811170070637661e-09,1.0308859461440575e-08,4.004336852614741e-09,4.299665013385565e-09,5.211059898449423e-09,3.696736579963414e-09,9.336871718463338e-09,3.7072560901191025e-09,8.148712256309849e-09,1.2230867812934122e-08,5.3626500738005165e-09,3.1943122282901926e-09,1.1967990072635125e-08,1.4016052812685133e-09,4.934373788948868e-09,6.559512088572796e-09,3.519468518435298e-09,6.8455173320548e-09,6.626836304997217e-09,3.768635550984022e-09,1.1536785718276778e-08,1.0666160487810368e-08,7.230245404800072e-09,4.995020557978021e-09,5.4115779665420044e-09,1.3908935579037907e-08,1.0325860960319585e-08,1.4924646244077284e-08,8.16471639891755e-09,3.813955730899021e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,2.6962576893175177e-07,2.8082501062928175e-07,1.539613923153776e-07,2.3158016051379093e-07,1.7658323171874761e-07,3.323257861287057e-07,2.1044562859703462e-07,2.807296922588861e-07,1.49006610100259e-07,2.3567120150288736e-07,4.6228512382908197e-07,1.8000315871324792e-07,1.9805398574778129e-07,1.0691169204713608e-07,1.4489690400763333e-07,2.4511435662646644e-07,1.7218862709453163e-07,1.6738107675107192e-07,2.636765770076694e-07,2.477297886659001e-07,3.7028145799364206e-07,2.317054181766601e-07,3.424463082105873e-07,3.0471463865106105e-07,8.953367946510187e-08,1.4465565411043611e-07,1.4188000781601722e-07,2.172755833345772e-07,9.482440341882683e-08,1.8730821606159477e-07,1.5889938342783535e-07,1.2199403327861356e-07,1.4738126346003896e-07,2.3005928077748468e-07,1.0996523778332267e-07,1.0899960791297407e-07,5.542399272048261e-08,2.1094596252180436e-07,3.835209140386316e-07,1.4729983109185445e-07,4.019009661136226e-07,2.710163337799467e-07,2.458067175986679e-07,,,1.8528851779451526e-06,1.9955211285904525e-06,4.504135064683056e-06,3.129720586241639e-06,3.820514077585516e-06,2.1320584508086413e-06,,,2.3935351626593155e-06,1.761447430085843e-06,2.2932893806991445e-06,1.8020329065101713e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-01,5.92936587723e-08,3.5729666725867167e-07,1.759095882322858e-07,7.645406227646747e-08,1.1095826589981024e-07,2.2873340579271045e-07,4.737529425806544e-07,1.806941069522166e-07,1.1786333421920431e-07,2.706934429822277e-07,2.3061026045562232e-07,5.119207239098403e-07,3.541205635799806e-07,3.523913308500974e-07,2.1172429544353354e-07,1.1159413496285172e-07,8.861003491735202e-08,8.105884070296441e-08,7.841984408934003e-08,1.6359194411068787e-07,2.0788106699496207e-07,1.297816815268809e-07,1.3877838234436356e-07,1.9382382217884184e-07,2.3707001928519497e-07,1.0066779952874026e-07,1.1670440280920836e-07,4.674554263896986e-07,3.75547283929784e-07,7.422089621582513e-08,1.4695982869219654e-07,3.653303615428249e-07,5.174632924395033e-07,7.898039850450771e-08,1.7399707722530066e-07,1.3309043912889887e-07,1.0764330505218573e-07,1.3900369109681235e-07,1.282375316819698e-07,5.136161888462439e-07,1.0131968233795698e-07,1.453092248689368e-07,1.859006895678475e-07,,,,2.3414124998371005e-06,,1.5489872429143896e-06,,,,1.028850837367598e-06,,,,1.9414434040787474e-06,1.4158979722432345e-06,2.256403302187897e-06,2.153239466473615e-06,2.548580733866442e-06,2.1632983962216713e-06,2.4680157147174568e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,5.642708392480407e-07,7.051822043292569e-07,6.225339478885175e-07,9.213802470562608e-07,8.884987938671702e-07,9.055781256000522e-07,2.5818336495225755e-07,5.833694567806336e-07,8.817241993248756e-07,2.825561786115938e-07,4.386912957760442e-07,7.490695683131813e-07,2.0027732707679416e-06,1.188478893605999e-06,1.109698324275488e-06,5.805490917123237e-07,8.104338122680133e-07,3.5881188113855655e-07,3.455839396514196e-07,5.974817665611967e-07,6.341920913831619e-07,6.490382172519385e-07,5.955500788651954e-07,6.467852944404183e-07,4.114565975951491e-07,1.2960852510268727e-06,8.006181637633504e-07,1.1157637100546519e-06,7.894564129325881e-07,2.0632188097008982e-07,3.750167580095504e-07,1.640815958251669e-06,1.353822649481497e-06,1.116070354846274e-06,1.6275750673283093e-06,4.4732673845428944e-07,9.310378634703092e-07,6.711963282010431e-07,1.319119007448431e-06,2.0754411853807285e-06,7.125551788883921e-07,1.8832656621814645e-06,1.9336269890053693e-06,,,,,,,,,,,,,,,,,,,,,4.047588121670819e-05,2.4652825613279264e-05,2.7243873333338207e-05,3.3289781177162e-05,2.2719341161340403e-05,2.0343369682583216e-05,3.266467850790791e-05,1.7357409484059176e-05,3.566150070414365e-05,3.2004449831073676e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,4.533805650982452e-06,2.3794468718222844e-05,1.0284083386683677e-05,1.4360712809586428e-05,1.0985008348989601e-05,6.019490449527422e-06,1.4700974416837877e-05,3.2292582928630044e-05,2.683295972515717e-05,9.207574606392192e-06,1.1217684583646318e-05,2.099566064528341e-05,2.1067854654087078e-05,1.549308573799113e-05,1.2171193955724138e-05,3.7997874702410763e-06,1.3073278443932684e-05,2.6758712168288118e-05,2.0481192711124713e-05,3.906203957705692e-06,7.178988070971278e-06,2.2408180324434742e-05,1.107248880322946e-05,1.2580926251271229e-05,8.803466375674154e-06,2.068582696189617e-05,1.4082381583028785e-05,2.7130861984359968e-05,2.0273857571638994e-05,1.4577613482890229e-05,1.1292622903679552e-05,4.4684564695151434e-06,1.4955131657128598e-05,1.7608451402551678e-05,6.9112833046746836e-06,1.4338868586679272e-05,1.5791163410446194e-05,1.3422212835800665e-05,1.7152497896156468e-05,3.284378231093878e-05,1.8352185799027625e-05,6.112819274244319e-06,1.7646781738555437e-05,,,,,,,,,,,,,,,,,,,,,1.7705802413486426e-05,,,,,2.951809080218778e-05,,,,3.283613622425616e-05,1.9598458792350134e-05,3.215225824444122e-05,3.7086167661065583e-05,2.5464624270410324e-05,2.5938271919749546e-05,2.001131055301975e-05,1.2375117828871596e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-30,1.265311990664783e-06,1.039829408718982e-06,2.7849096424691184e-06,1.1918769130638432e-06,6.88894745401852e-07,8.176630653469684e-07,2.3132419771538015e-06,4.239435640822338e-06,4.258900456860053e-06,2.0823516225367866e-06,8.048042793422234e-07,1.971314259326928e-06,1.5012871803689673e-06,4.4330473758692745e-06,2.3980558804171214e-06,1.130784638231775e-06,1.2143407646879252e-06,2.6487205136589373e-06,2.8084660046819863e-06,3.001758087490403e-06,8.903861023663209e-07,4.39278410095799e-07,2.6933089310373923e-06,1.2144122662460756e-06,1.5914412685409056e-06,6.768809033329283e-07,3.1484687349513487e-06,4.039810890792452e-06,3.2191250732787213e-06,1.7124733324542555e-06,8.337419489196789e-07,8.581033210770855e-07,9.8137972746022e-07,4.448746105186395e-06,6.647741054468646e-07,1.8991789446001942e-06,1.4105650351711832e-06,2.1536604548816983e-06,2.006361027888479e-06,2.3465526134498296e-06,7.113296584434206e-07,2.2029307555733574e-06,3.266049241791299e-06,,,,,,,,,,,,,,,,,,,,,2.0645100938477872e-05,1.5445211592506803e-05,,,,,,1.1697040877745045e-05,,,,,,,,,,2.2620231332359657e-05,1.0259087476914875e-05,1.1014251318515493e-05,1.4704904412713712e-05,3.561538233311268e-05,1.0505064740820949e-05,2.3404733086697065e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-29,4.461447810274973e-06,7.73192837875879e-06,4.417493740125623e-06,2.1569228564226834e-06,2.08649743117617e-06,3.59427473624932e-06,4.515058930596496e-06,1.1717172812876742e-06,2.048586001916574e-06,1.7919297532886102e-06,1.152970041838878e-06,9.594523708220357e-06,7.697311023660395e-06,5.334695905695355e-06,1.0092699711059636e-06,4.004746834688959e-06,1.573118789469927e-06,1.0415928466983256e-05,4.102680555920493e-06,1.6298325559446072e-06,2.1915446593498856e-06,1.7380703317469897e-06,3.6127204062510045e-06,2.8874291385031817e-06,3.2031475161572422e-06,3.1375724582923967e-06,1.7691581440617162e-06,1.1984677295393206e-05,1.081391865165446e-05,1.597872344321703e-06,2.488954071253253e-06,3.204741108605369e-06,3.1072667069732574e-06,4.835507808384179e-06,2.098492567435463e-06,8.64325152756166e-06,2.271911082079949e-06,5.03560276294375e-06,3.6517115827050457e-06,4.314218172469082e-06,7.070053081665405e-06,2.492919516007761e-06,5.657651571913271e-06,,,,,,,,,,,,,,,,,,,,,9.473164621156684e-05,,,,9.345244924349363e-05,0.0001254367274526423,,,,,0.00014288099225057748,,,,,,,,,,,,8.704018445951184e-05,,9.845298496387951e-05,9.686752929734592e-05,0.00012506971222059723,6.0344449410988685e-05,0.00011484661570882253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-29,1.0616912846081656e-05,1.1516149853779555e-05,1.6985393774584487e-05,8.968145227876179e-06,1.3867614516808737e-05,4.007127452149051e-06,1.4985842061988629e-05,4.683779505485266e-06,5.551040767097685e-06,4.559812262137087e-06,1.1703821339455672e-05,2.983152813283984e-06,1.5250151893085039e-05,1.203434881615493e-05,4.680619499619528e-06,4.470312529782378e-06,4.169123607912734e-06,1.609741646860993e-05,7.322626446988546e-06,1.305758184398867e-05,1.560440519115172e-05,7.83034876188027e-06,5.397934975047062e-06,2.0279338079662905e-06,6.2568074060844635e-06,6.319689039669016e-06,4.433044414638798e-06,1.237574441961194e-05,1.660845966418545e-05,1.3829552659283225e-05,1.7610443141022645e-05,9.315958681160398e-06,8.50469064845959e-06,8.429967972792805e-06,1.9031148977857183e-06,1.5399537886648365e-05,1.2804191269475062e-05,3.55385257203878e-06,1.4950865773619382e-05,9.466184885648692e-06,2.0705372003297706e-05,1.7406153670138645e-05,1.637173384160194e-05,,,,,,,,,,,,,,,,,,,,,,,,3.2061121539402366e-05,,,,,,,,4.018128259231937e-05,,,,,,,,,,,,,,,,,,4.86038984594391e-05,5.14117203984153e-05,5.373383135940699e-05,3.267755048426833e-05,7.147210265370701e-05,,4.248592636417722e-05,3.563693213981322e-05,5.147239958800969e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-28,4.6991841776351414e-05,7.223024570011929e-06,1.0488915313404913e-05,6.351842625927215e-06,1.9363295578951723e-05,1.1001204427179696e-05,6.650202245882314e-06,1.864149942931712e-05,1.8608953365700524e-05,7.398251909170421e-06,1.109189667786169e-05,2.063122537094123e-05,1.2265552250572013e-05,2.1488505321855417e-06,9.416053637990828e-06,5.432177994752584e-06,1.0982164581729974e-05,1.9646144966585842e-05,7.444150345231129e-06,7.395116119618742e-06,1.900723500868979e-05,6.21014769641058e-06,1.1469162958179714e-05,7.890921315589152e-06,8.391032920986558e-06,4.204739642246874e-06,5.731551047175564e-06,9.055444531737233e-06,2.1841453614228655e-05,1.427685432201414e-05,9.256564575051027e-06,1.4258196345797105e-05,1.9300240170967825e-05,1.2426240863196356e-05,2.7713882036374414e-06,1.0865397692353153e-05,2.2507553267510012e-05,9.985364419925018e-06,2.344768315503605e-05,9.023607654871477e-06,2.2291591994264177e-05,1.1142897102864577e-05,3.2920642902626197e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.535753914816915e-05,,,,4.6398305774675835e-05,,6.364534344491268e-05,,,6.367660001017637e-05,,,3.134514034463239e-05,5.15950467022336e-05,7.307115523567095e-05,2.4351771669255785e-05,5.118901162087395e-05,4.7841718463056414e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,3.205063648827534e-05,1.0478210222993185e-05,9.574477330805631e-06,4.8594174251439766e-06,1.1098427318071393e-05,1.426385994657638e-05,3.882222906068111e-06,6.53196929696499e-06,5.315113220354416e-06,3.5608461605702044e-06,5.702108736156563e-06,2.8210777809796757e-05,4.123293560149363e-06,3.7255356435728e-06,4.582710723470783e-06,3.5294457560505255e-06,7.742781725376107e-06,2.164399145785684e-05,5.816987846449887e-06,1.1743431122060062e-05,1.1055631828925903e-05,4.433634374763346e-06,6.564069799129171e-06,1.6863177492498033e-06,6.7121470340455e-06,7.804025111866542e-06,5.3742135963615144e-06,4.931335057842945e-06,1.1082642314607989e-05,4.142137452928063e-06,6.759121253381909e-06,8.624930836886333e-06,9.064671939406278e-06,7.305633161956639e-06,8.948303712797478e-06,5.983548446354462e-06,1.1910459446656059e-05,1.1074121293991355e-05,9.9477441727367e-06,3.250808220404298e-06,3.921623939171516e-06,4.203532783557324e-06,5.004955866255943e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7615189852611936e-05,4.115188974937729e-05,,,,3.189153571052029e-05,,,,,,,,,4.3778209826522354e-05,8.375735416805264e-05,,,,2.6979802373996418e-05,4.062136427571884e-05,4.264793392080537e-05,4.2283809791896294e-05,3.5657418412264127e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
